team,cs2team,cse3score,cse2score,cse1score,id,newColumn,rankSE3,rankSE2,rankSE1,cse3scoreMax,cse3scoreMin,cse2scoreMax,cse2scoreMin,cse1scoreMax,cse1scoreMin,MeanRankingSE2_3,coefficient
29,44,76,85,77,141250186,4476,162,84,124,76.0,76.0,85.0,77.0,87.0,74.0,17.4375,Infinity
29,22,76,85,87,141250202,2276,162,84,48,76.0,76.0,85.0,77.0,87.0,74.0,17.4375,Infinity
30,37,90,82,72,141250199,3790,13,122,152,90.0,90.0,91.0,82.0,86.0,72.0,17.4375,Infinity
30,37,90,83,84,141250207,3790,13,105,66,90.0,90.0,91.0,82.0,86.0,72.0,17.4375,Infinity
30,37,90,91,86,141250204,3790,13,25,53,90.0,90.0,91.0,82.0,86.0,72.0,17.4375,Infinity
30,37,90,87,86,141250175,3790,13,60,53,90.0,90.0,91.0,82.0,86.0,72.0,17.4375,Infinity
31,4,80.5,81,84,141250072,480.5,125,131,66,80.5,80.5,83.0,81.0,84.0,73.0,17.4375,Infinity
31,4,80.5,81,83,141250074,480.5,125,131,76,80.5,80.5,83.0,81.0,84.0,73.0,17.4375,Infinity
31,4,80.5,83,76,141250075,480.5,125,105,131,80.5,80.5,83.0,81.0,84.0,73.0,17.4375,Infinity
31,4,80.5,83,73,141250076,480.5,125,105,149,80.5,80.5,83.0,81.0,84.0,73.0,17.4375,Infinity
32,13,77,86,84,141250111,1377,149,66,66,77.0,77.0,91.0,74.0,90.0,60.0,17.4375,Infinity
32,13,77,80,77,141250113,1377,149,141,124,77.0,77.0,91.0,74.0,90.0,60.0,17.4375,Infinity
32,13,77,91,90,141250198,1377,149,25,22,77.0,77.0,91.0,74.0,90.0,60.0,17.4375,Infinity
32,13,77,74,60,141250205,1377,149,174,189,77.0,77.0,91.0,74.0,90.0,60.0,17.4375,Infinity
33,28,87,86,83,141250098,2887,45,66,76,87.0,87.0,90.0,86.0,88.0,79.0,17.4375,Infinity
33,28,87,90,88,141250099,2887,45,36,37,87.0,87.0,90.0,86.0,88.0,79.0,17.4375,Infinity
33,28,87,86,79,141250082,2887,45,66,112,87.0,87.0,90.0,86.0,88.0,79.0,17.4375,Infinity
33,28,87,88,81,141250046,2887,45,53,93,87.0,87.0,90.0,86.0,88.0,79.0,17.4375,Infinity
34,27,78,80,88,141250029,2778,137,141,37,78.0,78.0,81.0,80.0,88.0,80.0,17.4375,Infinity
34,30,78,81,82,141250034,3078,137,131,84,78.0,78.0,81.0,80.0,88.0,80.0,17.4375,Infinity
34,30,78,81,81,141250032,3078,137,131,93,78.0,78.0,81.0,80.0,88.0,80.0,17.4375,Infinity
34,30,78,80,80,141250206,3078,137,141,103,78.0,78.0,81.0,80.0,88.0,80.0,17.4375,Infinity
35,9,83,82,75,141250010,983,80,122,140,83.0,83.0,82.0,73.0,82.0,63.0,17.4375,Infinity
35,9,83,82,82,141250093,983,80,122,84,83.0,83.0,82.0,73.0,82.0,63.0,17.4375,Infinity
35,9,83,74,78,141250059,983,80,174,121,83.0,83.0,82.0,73.0,82.0,63.0,17.4375,Infinity
35,9,83,73,63,141250128,983,80,181,183,83.0,83.0,82.0,73.0,82.0,63.0,17.4375,Infinity
36,40,85.5,86,90,141250211,4085.5,65,66,22,85.5,85.5,90.0,73.0,90.0,65.0,17.4375,Infinity
36,20,85.5,89,83,141250131,2085.5,65,44,76,85.5,85.5,90.0,73.0,90.0,65.0,17.4375,Infinity
36,23,85.5,90,85,141250149,2385.5,65,36,58,85.5,85.5,90.0,73.0,90.0,65.0,17.4375,Infinity
36,47,85.5,73,65,141250163,4785.5,65,181,174,85.5,85.5,90.0,73.0,90.0,65.0,17.4375,Infinity
37,3,78,87,83,141250135,378,137,60,76,78.0,78.0,87.0,70.0,89.0,67.0,17.4375,Infinity
37,3,78,87,67,141250143,378,137,60,171,78.0,78.0,87.0,70.0,89.0,67.0,17.4375,Infinity
37,40,78,84,89,141250214,4078,137,94,28,78.0,78.0,87.0,70.0,89.0,67.0,17.4375,Infinity
37,40,78,70,76,141250215,4078,137,192,131,78.0,78.0,87.0,70.0,89.0,67.0,17.4375,Infinity
38,44,76,79,81,141250172,4476,162,152,93,76.0,76.0,80.0,75.0,81.0,61.0,17.4375,Infinity
38,55,76,79,65,141250213,5576,162,152,174,76.0,76.0,80.0,75.0,81.0,61.0,17.4375,Infinity
38,55,76,75,61,141250208,5576,162,170,186,76.0,76.0,80.0,75.0,81.0,61.0,17.4375,Infinity
38,50,76,80,64,141250130,5076,162,141,179,76.0,76.0,80.0,75.0,81.0,61.0,17.4375,Infinity
39,35,60,72,36,141250193,3560,199,187,203,60.0,60.0,74.0,60.0,65.0,36.0,17.4375,Infinity
39,54,60,60,64,141250201,5460,199,202,179,60.0,60.0,74.0,60.0,65.0,36.0,17.4375,Infinity
39,51,60,74,65,141250055,5160,199,174,174,60.0,60.0,74.0,60.0,65.0,36.0,17.4375,Infinity
39,48,60,69,47,141250060,4860,199,194,199,60.0,60.0,74.0,60.0,65.0,36.0,17.4375,Infinity
40,19,87.5,84,92,141250197,1987.5,37,94,15,87.5,87.5,89.0,76.0,93.0,48.0,17.4375,Infinity
40,19,87.5,76,48,141250188,1987.5,37,165,198,87.5,87.5,89.0,76.0,93.0,48.0,17.4375,Infinity
40,19,87.5,89,93,141250152,1987.5,37,44,13,87.5,87.5,89.0,76.0,93.0,48.0,17.4375,Infinity
40,19,87.5,81,75,141250104,1987.5,37,131,140,87.5,87.5,89.0,76.0,93.0,48.0,17.4375,Infinity
41,49,90,95,95,141250017,4990,13,5,4,90.0,90.0,95.0,82.0,95.0,69.0,17.4375,Infinity
